Coordinates (x: 0, y: 0, Yaw: 0.00867057), Distance: 0 meters, Yaw: 0.00867057 degrees
Coordinates (x: 5.85401e-08, y: 8.85892e-12, Yaw: 0.00867072), Distance: 5.85402e-08 meters, Yaw: 0.00867072 degrees
Coordinates (x: 1.11504e-07, y: 1.68742e-11, Yaw: 0.00867101), Distance: 1.11504e-07 meters, Yaw: 0.00867101 degrees
Coordinates (x: 1.67256e-07, y: 2.53115e-11, Yaw: 0.00867122), Distance: 1.67256e-07 meters, Yaw: 0.00867122 degrees
Coordinates (x: 2.23006e-07, y: 3.37489e-11, Yaw: 0.00867119), Distance: 2.23006e-07 meters, Yaw: 0.00867119 degrees
Coordinates (x: 2.78756e-07, y: 4.21862e-11, Yaw: 0.00867122), Distance: 2.78756e-07 meters, Yaw: 0.00867122 degrees
Coordinates (x: 3.37293e-07, y: 5.10452e-11, Yaw: 0.00867141), Distance: 3.37293e-07 meters, Yaw: 0.00867141 degrees
Coordinates (x: 3.90255e-07, y: 5.90607e-11, Yaw: 0.00867158), Distance: 3.90255e-07 meters, Yaw: 0.00867158 degrees
Coordinates (x: 4.46003e-07, y: 6.74981e-11, Yaw: 0.00867168), Distance: 4.46003e-07 meters, Yaw: 0.00867168 degrees
Coordinates (x: 5.0175e-07, y: 7.59355e-11, Yaw: 0.00867193), Distance: 5.0175e-07 meters, Yaw: 0.00867193 degrees
Coordinates (x: 5.57497e-07, y: 8.4373e-11, Yaw: 0.00867192), Distance: 5.57497e-07 meters, Yaw: 0.00867192 degrees
Coordinates (x: 6.13244e-07, y: 9.28104e-11, Yaw: 0.0086717), Distance: 6.13244e-07 meters, Yaw: 0.0086717 degrees
Coordinates (x: 6.68989e-07, y: 1.01247e-10, Yaw: 0.00867171), Distance: 6.68989e-07 meters, Yaw: 0.00867171 degrees
Coordinates (x: 7.24735e-07, y: 1.09684e-10, Yaw: 0.00867177), Distance: 7.24735e-07 meters, Yaw: 0.00867177 degrees
Coordinates (x: 7.80479e-07, y: 1.18121e-10, Yaw: 0.00867188), Distance: 7.80479e-07 meters, Yaw: 0.00867188 degrees
Coordinates (x: 8.36223e-07, y: 1.26559e-10, Yaw: 0.00867206), Distance: 8.36223e-07 meters, Yaw: 0.00867206 degrees
Coordinates (x: 8.91966e-07, y: 1.34996e-10, Yaw: 0.00867229), Distance: 8.91966e-07 meters, Yaw: 0.00867229 degrees
Coordinates (x: 9.47709e-07, y: 1.43433e-10, Yaw: 0.00867236), Distance: 9.47709e-07 meters, Yaw: 0.00867236 degrees
Coordinates (x: 1.00345e-06, y: 1.5187e-10, Yaw: 0.00867252), Distance: 1.00345e-06 meters, Yaw: 0.00867252 degrees
Coordinates (x: 1.05919e-06, y: 1.60307e-10, Yaw: 0.00867279), Distance: 1.05919e-06 meters, Yaw: 0.00867279 degrees
Coordinates (x: 1.11493e-06, y: 1.68745e-10, Yaw: 0.00867295), Distance: 1.11493e-06 meters, Yaw: 0.00867295 degrees
Coordinates (x: 1.17067e-06, y: 1.77182e-10, Yaw: 0.00867333), Distance: 1.17067e-06 meters, Yaw: 0.00867333 degrees
